"Name of Satellite, Alternate Names"	Current Official Name of Satellite	Country/Org of UN Registry	Country of Operator/Owner	Operator/Owner	Users	Purpose	Detailed Purpose	Class of Orbit	Type of Orbit	Longitude of GEO (degrees)	Perigee (km)	Apogee (km)	Eccentricity	Inclination (degrees)	Period (minutes)	Launch Mass (kg.)	Dry Mass (kg.)	Power (watts)	Date of Launch	Expected Lifetime (yrs.)	Contractor	Country of Contractor	Launch Site	Launch Vehicle	COSPAR Number	NORAD Number	Comments		Source Used for Orbital Data	Source		Source	Source	Source	Source	Source																																																																																																																																																																																																																											
"Advanced Orion 2 (Mentor, NROL 6, USA 139)"	USA 139	USA	USA	National Reconnaissance Office (NRO)	Military	Earth Observation	Electronic Intelligence	GEO		-26.00	"35,560"	"36,013"	5.37E-03	7.72	1436.14	"4,500"			5/9/1998		TRW Space and Electronics	USA	Cape Canaveral	Titan IVA	1998-029A	25336	ELINT.		JM/12_08	http://www.sciencepresse.qc.ca/clafleur/Spacecrafts-1998.html#Orion		http://globalsecurity.org/space/library/report/2005/satellitetables2004.htm	http://www.msnbc.com/news/185953.asp#BODY	http://www.lib.cas.cz/www/space.40/1990/097B.HTM																																																																																																																																																																																																																													
"Advanced Orion 3 (Mentor, NROL 19, USA 171)"	USA 171	USA	USA	National Reconnaissance Office (NRO)	Military	Earth Observation	Electronic Intelligence	GEO		95.40	"35,589"	"35,984"	4.68E-03	3.20	1436.1	"4,500"			9/9/2003		TRW Space and Electronics	USA	Cape Canaveral	Titan IV	2003-041A	27937	Electronic intelligence (ELINT). 		JM/12_08	http://www.sciencepresse.qc.ca/clafleur/Spacecrafts-2003.html		http://nssdc.gsfc.nasa.gov/spacewarn/spx599.html	http://www.fsri.org/FSRI%20Archives/Aerospace%20News/Aerospace%20Update%2009-15-03.pdf	http://globalsecurity.org/space/library/report/2005/satellitetables2004.htm	http://www.lib.cas.cz/knav/space.40/2003/041A.HTM																																																																																																																																																																																																																												
"Advanced Orion 4 (Mentor, NRO L-26, USA 202)"	USA 202	USA	USA	National Reconnaissance Office (NRO)	Military	Earth Observation	Electronic Intelligence	GEO		44.00	"35,714"	"35,937"	2.64E-03	2.89	1438.8	"5,000"			1/18/2009		National Reconnaissance Laboratory (?)	USA	Cape Canaveral	Delta 4 Heavy	2009-001A	33490	ELINT.		SC - ASCR	http://www.globalsecurity.org/space/systems/trumpet.htm		http://www.space.com/missionlaunches/sfn-090119-delta4-spysat-launch.html	http://www.sworld.com.au/steven/space/usmil-man.txt	http://www.nasaspaceflight.com/2010/11/live-delta-iv-heavy-launch-with-nrol-3/	http://www.thespacereview.com/article/3095/1																																																																																																																																																																																																																												
"Advanced Orion 5 (Mentor, NRO L-32, USA 223)"	USA 223	USA	USA	National Reconnaissance Office (NRO)	Military	Earth Observation	Electronic Intelligence	GEO		100.90	"35,500"	"35,500"	0.00E+00	0.00	1436	"5,000"			11/21/2010		National Reconnaissance Laboratory (?)	USA	Cape Canaveral	Delta 4 Heavy	2010-063A	37232	ELINT.		SC - ASCR	http://forum.nasaspaceflight.com/index.php?topic=11127.45		http://www.space.com/missionlaunches/sfn-090119-delta4-spysat-launch.html	http://www.sworld.com.au/steven/space/usmil-man.txt	http://www.nasaspaceflight.com/2010/11/live-delta-iv-heavy-launch-with-nrol-3/																																																																																																																																																																																																																													
"Advanced Orion 6 (Mentor, NRO L-15, USA 237)"	USA 237	USA	USA	National Reconnaissance Office (NRO)	Military	Earth Observation	Electronic Intelligence	GEO		60.00	"35,771"	"35,805"	4.03E-04	0.00	1436.1	"5,000"			6/29/2012		National Reconnaissance Laboratory (?)	USA	Cape Canaveral	Delta 4 Heavy	2012-034A	38528	ELINT.		CalSky	http://www.nasaspaceflight.com/2012/06/delta-iv-heavy-launch-nrol-15-cape-canaveral/		http://www.nasaspaceflight.com/2012/06/delta-iv-heavy-launch-nrol-15-cape-canaveral/	http://www.calsky.com/observer//tle.cgi?satid=12034A&tdt=2456146.41756944																																																																																																																																																																																																																														
"Advanced Orion 7 (Mentor, NRO L-37, USA 268)"	USA 268	USA	USA	National Reconnaissance Office (NRO)	Military	Earth Observation	Electronic Intelligence	GEO		102.60	"35,613"	"35,903"	3.44E-03	7.51	1437.19	"5,000"			6/11/2016		National Reconnaissance Laboratory (?)	USA	Cape Canaveral	Delta 4 Heavy	2016-036A	41584	ELINT.		ZARYA	http://spaceflightnow.com/2016/06/11/triple-barrel-delta-4-heavy-launches-national-security-satellite/		http://spaceflight101.com/delta-iv-nrol-37/nrol-37-satellite/	http://sattrackcam.blogspot.com/2016/06/mentor-7-nrol-37-stopped-drifting-at.html																																																																																																																																																																																																																														
"AEHF-2 (Advanced Extremely High Frequency satellite-2, USA 235)"	USA 235	USA	USA	US Air Force	Military	Communications		GEO		-120.00	"35,772"	"35,801"	3.44E-04	2.34	1436.1	"6,169"			5/3/2012	14	Lockheed Martin Space Systems	USA	Cape Canaveral	Atlas 5	2012-019A	38254	Second in constellation.		ZARYA			http://www.nasaspaceflight.com/2013/09/atlas-v-loft-aehf-3-satellite/																																																																																																																																																																																																																															
"AEHF-3 (Advanced Extremely High Frequency satellite-3, USA 246)"	USA 246	NR	USA	US Air Force	Military	Communications		GEO		152.10	"35,700"	"35,803"	1.22E-03	4.20	1436.1	"6,169"			9/18/2013	14	Lockheed Martin Space Systems	USA	Cape Canaveral	Atlas 5	2013-050A	39256	Third in constellation.		ZARYA	http://www.zarya.info/Diaries/Launches/Launches.php?year=2013		http://www.nasaspaceflight.com/2013/09/atlas-v-loft-aehf-3-satellite/																																																																																																																																																																																																																															
"AEHF-4 (Advanced Extremely High Frequency satellite-4, USA 288)"	USA 288	USA	USA	US Air Force	Military	Communications		GEO		150.20	"35,781"	"35,790"	1.07E-04	0.05	1436.1	"6,169"			10/17/2018		Lockheed Martin Space Systems	USA	Cape Canaveral	Atlas 5	2018-079A	43651			JMGEO/11_19)	https://spaceflightnow.com/2018/10/17/air-forces-fourth-aehf-communications-satellite-successfully-launched-from-florida/		https://www.planet4589.org/space/log/geo.log																																																																																																																																																																																																																															
"AEHF-5 (Advanced Extremely High Frequency satellite-5, USA 292)"	USA 292	USA	USA	US Air Force	Military	Communications		GEO		-94.39	"35,780"	"35,810"	3.56E-04	6.40	1436.2	"6,169"			8/8/2019		Lockheed Martin Space Systems	USA	Cape Canaveral	Atlas 5	2019-051A	44481			JMGEO/11_19)	https://spaceflightnow.com/2019/08/08/atlas-5-launch-adds-to-u-s-militarys-secure-communications-satellite-network/		https://www.planet4589.org/space/log/geo.log																																																																																																																																																																																																																															
