"Name of Satellite, Alternate Names"	Current Official Name of Satellite	Country/Org of UN Registry	Country of Operator/Owner	Operator/Owner	Users	Purpose	Detailed Purpose	Class of Orbit	Type of Orbit	Longitude of GEO (degrees)	Perigee (km)	Apogee (km)	Eccentricity	Inclination (degrees)	Period (minutes)	Launch Mass (kg.)	Dry Mass (kg.)	Power (watts)	Date of Launch	Expected Lifetime (yrs.)	Contractor	Country of Contractor	Launch Site	Launch Vehicle	COSPAR Number	NORAD Number	Comments		Source Used for Orbital Data	Source		Source	Source	Source	Source	Source																																																																																																																																																																																																																											
Aerocube 8C	Aerocube 8C	NR	USA	Aerospace Corporation	Commercial	Technology Development		LEO	Sun-Synchronous	0.00	569	584	1.08E-03	97.90	96.2	5			11/11/2016		Aerospace Corporation	USA	Vandenberg AFB	Atlas 5	2016-067F	41853			JMSatcat/7_20	https://spaceflight101.com/spacecraft/aerocube-8/																																																																																																																																																																																																																																	
Aerocube 8D	Aerocube 8D	NR	USA	Aerospace Corporation	Commercial	Technology Development		LEO	Sun-Synchronous	0.00	572	584	8.64E-04	98.00	96.23	2			11/11/2016		Aerospace Corporation	USA	Vandenberg AFB	Atlas 5	2016-067E	41852			prehled druzic	http://spaceflightnow.com/2016/11/11/commercial-satellite-launched-to-image-the-earth-in-high-resolution/																																																																																																																																																																																																																																	
"Afghansat-1 (Eutelsat 48D [Eutelsat 48B, Eutelsat W2M])"	Eutelsat 48D	France	Multinational	EUTELSAT S.A.	Commercial	Communications		GEO		48.00	"35,764"	"35,808"	5.22E-04	0.12	1436.08	"3,460"	"1,555"	"7,000"	12/20/2008	15	EADS Astrium	France	Guiana Space Center	Ariane 5	2008-065B	33460	30 Ku-band transponders.		JM/12_08	http://www.cdi.org/friendlyversion/printversion.cfm?documentID=4478		http://www.tbs-satellite.com/tse/online/sat_eutelsat_w2m.html	http://en.wikipedia.org/wiki/Eutelsat_W2M																																																																																																																																																																																																																														
AIM (Aeronomy of Ice in Mesosphere)	AIM	USA	USA	"Center for Atmospheric Sciences, Hampton University/NASA"	Government	Earth Observation	Earth Science	LEO	Sun-Synchronous	0.00	544	552	5.78E-04	97.90	96.2	215	197	216	4/25/2007	2	Orbital Sciences Corp.	USA	Vandenberg AFB	Pegasus XL	2007-015A	31304	Study noctilucent clouds (NLC) in the polar mesosphere. In 2011 the mission was extended through FY 2012.		www.satellitedebris.net 12/12	http://aim.hamptonu.edu/		http://www.lib.cas.cz/www/space.40/2007/015A.HTM	http://www.nasa.gov/mission_pages/aim/index.html	http://www.lib.cas.cz/space.40/2011/044G.HTM																																																																																																																																																																																																																													
AISat-1	AISat-1	Germany	Germany	German Aerospace Center (DLR)	Government	Communications	Automatic Identification System (AIS)	LEO	Sun-Synchronous	0.00	643	660	1.21E-03	98.25	97.76	14			6/30/2014		German Aerospace Center (DLR)	Germany	Satish Dhawan Space Centre	PSLV-CA	2014-034B	40054	Satellite equipped with AIS tracking.		ZARYA	https://directory.eoportal.org/web/eoportal/satellite-missions/a/aisat		http://www.dlr.de/irs/en/desktopdefault.aspx/tabid-9335/16060_read-39531/																																																																																																																																																																																																																															
AISSat-1 (Automatic Identification System Satellite-1)	AISSat-1	Norway	Norway	Norwegian Coastal Admnistration	Government	Communications	Automatic Identification System (AIS)	LEO	Sun-Synchronous	0.00	615	632	1.22E-03	98.00	97.2	6			7/12/2010	3	Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies	Canada	Satish Dhawan Space Centre	PSLV	2010-035C	36797	Equipped with instrument that receives and forwards Automatic Identification System (AIS) signals; will demonstrate maritime ship-tracking technologies.		www.satellitedebris.net 12/12	http://www.utias-sfl.net/nanosatellites/AISSat-1/		http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2010/035C.HTM	http://directory.eoportal.org/presentations/210/10000834.html	http://www.ffi.no/no/Publikasjoner/Documents/AISSAT-1_Norways%20first%20observation%20satellite.pdf																																																																																																																																																																																																																													
AISSat-2 (Automatic Identification System Satellite-2)	AISSat-2	Norway	Norway	Norwegian Coastal Admnistration	Government	Communications	Automatic Identification System (AIS)	LEO	Sun-Synchronous	0.00	625	631	4.29E-04	98.40	97.27	6			7/8/2014	3	Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies	Norway/Canada	Baikonur Cosmodrome	Soyuz-2.1b	2014-037G	40075	Second in the series.		ZARYA	http://www.ffi.no/no/Publikasjoner/Documents/AISSAT-1_Norways%20first%20observation%20satellite.pdf		http://web.spacecentre.no/eng/Norway-in-Space/Norway-s-Satellites																																																																																																																																																																																																																															
AIST-1	AIST-1	Russia	Russia	"Samara State Aerospace University, SGAU"	Commercial/Civil	Technology Development		LEO	Polar	0.00	599	626	1.93E-03	82.40	96.9				12/28/2013		TsSKB Progress	Russia	Plesetsk Cosmodrome	"Soyuz 2,1v"	2013-078C	39492	Designed to measure the Earth�s geomagnetic field and test out a new satellite design.		ZARYA	http://www.zarya.info/Diaries/Launches/Launches.php?year=2013																																																																																																																																																																																																																																	
AIST-2	AIST-2	Russia	Russia	"Samara State Aerospace University, SGAU"	Commercial/Civil	Technology Development		LEO	Non-Polar Inclined	0.00	558	582	1.73E-03	64.88	96.06	53			4/19/2013	3	"Samara State Aerospace University, SGAU"	Russia	Baikonur Cosmodrome	Soyuz 2.1a	2013-015D	39133	Designed to measure the Earth�s geomagnetic field and test out a new satellite design.			http://www.russianspaceweb.com/aist.html		http://www.zarya.info/Diaries/Launches/Launches.php?year=2013																																																																																																																																																																																																																															
AIST-2D	AIST-2D	Russia	Russia	"Samara State Aerospace University, SGAU"	Commercial/Civil	Technology Development		LEO	Sun-Synchronous	0.00	471	486	1.10E-03	97.28	94.18	531			4/27/2016		Samara State Aerospace University/TsSKB Progress	Russia	Vostochny Cosmodrome	Soyuz 2.1a	2016-026B	41465	"Aist 2D also carries an innovative radar operating in P-band, a wavelength that penetrates through forest canopies and Earth�s surface to study underground structures."		Space50	https://spaceflightnow.com/2016/04/28/first-launch-from-russias-new-cosmodrome-declared-a-success/		http://space50.org/objekt.php?mot=2016-026B&jazyk=pp_en																																																																																																																																																																																																																															
AISTechSat-2	AISTechSat-2	NR	Spain	AISTech	Commercial	Earth Observation	Automatic Identification System (AIS)	LEO	Sun-Synchronous	0.00	574	592	1.29E-03	97.80	96.4	3			12/3/2018		GomSpace ApS	Denmark	Vandenberg AFB	Falcon 9	2018-099L	43768	First satellite built by GOMSpace. Earth observation and AIS tracking. Demonstration flight.		JMSatcat/3_19	https://spaceflightnow.com/2018/12/03/spacex-launches-swarm-of-satellites-re-flies-rocket-for-third-time/		http://www.aistechspace.com/	https://directory.eoportal.org/web/eoportal/satellite-missions/content/-/article/sso-a																																																																																																																																																																																																																														
AISTechSat-3	AISTechSat-3	NR (4/20)	Spain	AISTech	Commercial	Earth Observation	Automatic Identification System (AIS)	LEO	Sun-Synchronous	0.00	490	506	1.16E-03	97.50	94.6	2			4/1/2019		GomSpace ApS	Denmark	Satish Dhawan Space Centre	PSLV	2019-018AB	44103	Pathfinder for the company's planned network of satellites providing aviation tracking and remote asset management services.		JMSatcat/11_19	https://spaceflightnow.com/2019/04/01/indian-military-satellite-20-more-planet-imaging-cubesats-aboard-successful-pslv-launch/		https://directory.eoportal.org/web/eoportal/satellite-missions/e/emisat	https://www.planet4589.org/space/log/satcat.txt																																																																																																																																																																																																																														
Al Yah-3	Al Yah-3	Brazil	United Arab Emirates	Al Yah Satellite Communications Co. (YAHSAT)	Commercial	Communications		GEO		-20.00	"35,777"	"35,796"	2.25E-04	0.00	1436	"3,795"			1/25/2018	15	Orbital ATK	USA	Guiana Space Center	Ariane 5	2018-012A	43174	"Placed in an incorrect transfer orbit, but has reached correct orbit and functioning well."		JMGEO/5_18	https://spaceflightnow.com/2018/01/26/ariane-5-va241-status-1/		https://spaceflightnow.com/2018/01/26/probe-into-off-target-ariane-5-launch-begins-ses-and-yahsat-payloads-declared-healthy/																																																																																																																																																																																																																															
Alcomsat (Algerian Communications Satellite)	Alcomsat	Algeria	Algeria	Algerian Space Agency (ASAL)	Government	Communications		GEO		-24.80	"35,744"	"35,798"	6.41E-04	0.04	1436.1	"5,225"			12/10/2017	15	China Academy of Space Technology (CAST)	China	Xichang Satellite Launch Center	Long March 3B	2017-078A	43039	Algeria's first communications satellite.		JMGEO/3_18	https://spaceflightnow.com/2017/12/10/chinese-rocket-launches-with-first-algerian-communications-satellite/		https://www.nasaspaceflight.com/2017/12/chinese-long-march-3b-alcomsat-1-algeria/																																																																																																																																																																																																																															
ALE-2 (Astro Live Experiences-2)	ALE-2	NR (3/20)	Japan	Astro Live Experiences	Commercial	Earth Science		LEO	Sun-Synchronous	0.00	397	414	1.25E-03	97.01	92.06	75			12/6/2019		Astro Live Experiences	Japan	Rocket Lab Launch Complex 1	Electron	2019-084A	44824	Planned display of colorful meteor-like lights for Tokyo Summer Olympics.		JMSatcat/3_20	https://spaceflightnow.com/2019/12/06/rocket-labs-10th-launch-tests-booster-recovery-technology/	https://www.planet4589.org/space/log/satcat.txt																																																																																																																																																																																																																																
Al-Farabi-2	Al-Farabi-2	NR	Kazakhstan	Al-Farabi Kazakh National University	Civil	Technology Development		LEO	Sun-Synchronous	0.00	573	589	1.15E-03	97.70	96.2	4			12/3/2018		Al-Farabi Kazakh National University	Kazakhstan	Vandenberg AFB	Falcon 9	2018-099AZ	43805	Technology demonstration mission.		JMSatcat/3_19	https://spaceflightnow.com/2018/12/03/spacex-launches-swarm-of-satellites-re-flies-rocket-for-third-time/		https://directory.eoportal.org/web/eoportal/satellite-missions/content/-/article/sso-a	https://www.planet4589.org/space/log/satcat.txt																																																																																																																																																																																																																														
ALiCE��(AFIT LEO iMESA CNT E)	ALiCE	NR	USA	US Air Force Institute of Technology	Military	Technology Development		LEO	Polar	0.00	443	886	3.15E-02	120.30	98	5			12/6/2013		US Air Force Institute of Technology	USA	Vandenberg AFB	Atlas 5	2013-072F	39467	Testing a potential lightweight propulsion system for microsatellites based on an array of advanced carbon nanotubes for accelerating ions.		ZARYA estimated	http://www.spaceflight101.com/atlas-v-nrol-39-launch-updates.html		http://www.zarya.info/Diaries/Launches/Launches.php?year=2013																																																																																																																																																																																																																															
Alsat 2B	Alsat-2B	Algeria	Algeria	Algerian Space Agency (ASAL)	Government	Earth Observation	Optical Imaging	LEO	Sun-Synchronous	0.00	646	660	9.97E-04	98.20	97.7	117			9/26/2016	5	Airbus Defense and Space	France/UK/Germany/Spain	Satish Dhawan Space Centre	PSLV	2016-059D	41786	Surveillance.		JMSatcat/12_16	http://spaceflightnow.com/2016/09/26/india-declares-success-on-pslvs-most-complex-mission/																																																																																																																																																																																																																																	
Alsat-1B	Alsat-1B	Algeria	Algeria	Algerian Space Agency (ASAL)	Government	Earth Observation	Optical Imaging	LEO	Sun-Synchronous	0.00	661	704	3.05E-03	98.20	98.4	103			9/26/2016	5	Surrey Satellite Technology Ltd.	UK	Satish Dhawan Space Centre	PSLV	2016-059C	41785	"Imagery for�agricultural and resource monitoring, disaster management, land use mapping and urban planning,"		JMSatcat/12_16	http://spaceflightnow.com/2016/09/26/india-declares-success-on-pslvs-most-complex-mission/																																																																																																																																																																																																																																	
AlSat-1N	AlSat-1N	Algeria	Algeria	Algerian Space Agency (ASAL)/UK Space Agency	Government	Technology Development		LEO	Sun-Synchronous	0.00	661	698	2.62E-03	98.20	98.3	10			9/26/2016		Surrey Satellite Technology Ltd.	UK	Satish Dhawan Space Centre	PSLV	2016-059G	41789	Technology demonstration satellite for Algerian students.		JMSatcat/12_16	http://spaceflightnow.com/2016/09/26/india-declares-success-on-pslvs-most-complex-mission/		http://gadgets.ndtv.com/science/news/isro-successfully-puts-into-orbit-7-more-satellites-following-scatsat-1-1466496																																																																																																																																																																																																																															
Alsat-2A (Algeria Satellite 2A)	Alsat-2A	Algeria	Algeria	Algerian Space Agency (ASAL)	Government	Earth Observation	Optical Imaging	LEO	Sun-Synchronous	0.00	672	674	1.42E-04	98.10	98.2	130			7/12/2010	5	EADS Astrium	France/UK/Germany/Spain	Satish Dhawan Space Centre	PSLV	2010-035D	36798	"The system will enable Algeria to obtain very high quality images for use in a wide variety of applications: cartography, management of agriculture, forestry, water, mineral and oil resources, crop protection, management of natural disasters and land planning."		www.satellitedebris.net 12/12	http://directory.eoportal.org/get_announce.php?an_id=14250		http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2010/035D.HTM																																																																																																																																																																																																																															
Amazonas-2	Amazonas-2	Brazil	Spain	Hispamar (subsidiary of Hispasat - Spain)	Commercial	Communications		GEO		-61.00	"35,767"	"35,805"	4.51E-04	0.03	1436.08	"5,465"		"15,300"	10/1/2009	15	EADS Astrium	France/UK/Germany/Spain	Guiana Space Center	Ariane 5	2009-054A	35942	"54 Ku-band, 10 C-band transponders; North, Central and South America."		JM/12_09	http://nssdc.gsfc.nasa.gov/spacewarn/spx672.html		http://www.hispasat.com/List.aspx?ShowSearch=true&sectionsId=87&lang=en																																																																																																																																																																																																																															
Amazonas-3	Amazonas-3	Brazil	Spain	Hispamar (subsidiary of Hispasat - Spain)	Commercial	Communications		GEO		-61.00	"35,781"	"35,791"	1.19E-04	0.03	1436.05	"6,265"	"2,778"	"14,000"	2/7/2013	15	Space Systems/Loral	USA	Guiana Space Center	Ariane 5 ECA	2013-006A	39078			SC - ASCR	http://www.hispasat.com/Detail.aspx?sectionsId=67&lang=en		http://www.arianespace.com/news-press-release/2013/2-7-2013-VA212-launch.asp	http://space50.kosmo.cz/s40/2013/INDEX1.HTM																																																																																																																																																																																																																														
Amazonas-4A	Amazonas-4A	NR	Spain	Hispamar (subsidiary of Hispasat - Spain)	Commercial	Communications		GEO		-61.00	"35,784"	"35,795"	1.30E-04	0.08	1436.24	"2,938"			3/22/2014	15	Orbital Sciences Corp.	USA	Guiana Space Center	Ariane 5 ECA	2014-011A	39616	Suffered a power malfunction shortly after entering orbit; will affect capacity.		SC - ASCR	http://www.satnews.com/story.php?number=247224721																																																																																																																																																																																																																																	
Amazonas-5	Amazonas-5	NR	Spain	Hispamar (subsidiary of Hispasat - Spain)	Commercial	Communications		GEO		-61.00	"35,785"	"35,789"	4.74E-05	0.04	1436.11	"5,900"			9/12/2017	15	Space Systems/Loral	USA	Baikonur Cosmodrome	Proton	2017-053A	42934	"34 Ka-band, 24 Ku-band"		JM/3_18	https://spaceflightnow.com/2017/09/12/commercial-satellite-to-link-latin-america-lifts-off-on-proton-rocket/		http://www.planet4589.org/space/log/satcat.txt																																																																																																																																																																																																																															
"AMC-1 (Americom 1, GE-1)"	AMC-1	USA	USA	SES S.A.	Commercial	Communications		GEO		-129.15	"35,772"	"35,800"	3.32E-04	0.03	1436.1	"2,783"	"1,600"	"6,500 (EOL)"	9/8/1996	15	Lockheed Martin Commercial Space Systems	USA	Cape Canaveral	Atlas 2A	1996-054A	24315	"Broadcasting, business, cable, mobile; 24 C-band and 24 Ku-band transponders; 50 states and Caribbean"		JM/12_08	http://spacenews.com/op-ed-do-we-care-about-orbital-debris-at-all/		http://ses-americom.com/satellites/amc-1.html	http://www.chinastar.com.cn/english/sate/xnzb.html	http://perso.wanadoo.fr/eurospace/espdatabase/index.html	https://www.enu.kz/repository/2009/AIAA-2009-5364.pdf																																																																																																																																																																																																																												
"AMC-11 (Americom-11, GE 11)"	AMC-11	USA	USA	SES S.A.	Commercial	Communications		GEO		-130.93	"35,774"	"35,797"	2.73E-04	0.04	1436.07	"2,340"	"2,316"	"6,500 (EOL)"	5/19/2004	15	Lockheed Martin	USA	Cape Canaveral	Atlas 2AS	2004-017A	28252	24 C-band transponders.		JM/12_08	http://nssdc.gsfc.nasa.gov/spacewarn/spx607.html		http://www.ses-americom.com/satellites/amc-10-11.html	http://www.spaceref.com/news/viewpr.html?pid=14268	http://perso.wanadoo.fr/eurospace/espdatabase/index.html	http://www.lib.cas.cz/www/space.40/2004/017A.HTM	http://www.lockheedmartin.com/content/dam/lockheed/data/space/documents/a2100/A2100brochure.pdf																																																																																																																																																																																																																											
AMC-15 (Americom-15)	AMC-15	USA	USA	SES S.A.	Commercial	Communications		GEO		-105.04	"35,777"	"35,795"	2.13E-04	0.04	1436.08	"4,200"			10/14/2004	15	Lockheed Martin	USA	Baikonur Cosmodrome	Proton M	2004-041A	28446	"Hybrid Ku-Ka-band satellite; CONUS, Alaska, Hawaii."		JM/12_08	http://perso.wanadoo.fr/eurospace/espdatabase/index.html		http://nssdc.gsfc.nasa.gov/spacewarn/spx612.html	http://www.ses-americom.com/satellites/amc-15.html	http://www.lib.cas.cz/www/space.40/2004/041A.HTM	http://www.lockheedmartin.com/content/dam/lockheed/data/space/documents/a2100/A2100brochure.pdf																																																																																																																																																																																																																												
AMC-16 (Americom-16)	AMC-16	USA	USA	SES S.A.	Commercial	Communications		GEO		-84.98	"35,780"	"35,793"	1.54E-04	0.02	1436.1	"4,312"			12/17/2004	15	Lockheed Martin Commercial Space Systems	USA	Cape Canaveral	Atlas 5	2004-048A	28472	"Hybrid Ku-Ka-band satellite; CONUS, Alaska, Hawaii."		JM/12_08	http://www.lib.cas.cz/www/space.40/2004/048A.HTM		http://nssdc.gsfc.nasa.gov/spacewarn/spx614.html	http://www.ses-americom.com/satellites/amc-16.html	http://www.rednova.com/news/display/?id=112116	http://www.lockheedmartin.com/content/dam/lockheed/data/space/documents/a2100/A2100brochure.pdf																																																																																																																																																																																																																												
AMC-18 (Americom 18)	AMC-18	USA	USA	SES S.A.	Commercial	Communications		GEO		-104.97	"35,773"	"35,800"	3.20E-04	0.06	1436.1	"2,081"	918		12/8/2006	15	Lockheed Martin Missiles & Space	USA	Guiana Space Center	Ariane 5	2006-054B	29644	All c-band transponders for North American coverage.		JM/12_08	http://www.ses-americom.com/americom/siteSections/pressroom/12_08_06.php		http://www.lib.cas.cz/www/space.40/INDEX1.HTM	http://www.lockheedmartin.com/content/dam/lockheed/data/space/documents/a2100/A2100brochure.pdf																																																																																																																																																																																																																														
"AMC-2 (Americom 2, GE-2)"	AMC-2	USA	USA	SES S.A.	Commercial	Communications		GEO		-100.98	"35,774"	"35,798"	2.85E-04	0.05	1436.1	"2,648"	"1,600"	"6,500 (EOL)"	1/30/1997	15	Lockheed Martin Commercial Space Systems	USA	Guiana Space Center	Ariane 44L	1997-002A	24713	"Broadcasting, business, cable; CONUS, Hawaii, Caribbean, southern Canada; 24 Ku- and 24 C-band"		JM/12_08	http://perso.wanadoo.fr/eurospace/espdatabase/index.html		http://ses-americom.com/satellites/amc-2.html	http://www.lockheedmartin.com/content/dam/lockheed/data/space/documents/a2100/A2100brochure.pdf																																																																																																																																																																																																																														
AMC-21 (Americom 21)	AMC-21	United Kingdom	USA	SES S.A.	Commercial	Communications		GEO		-124.86	"35,778"	"35,793"	1.78E-04	3.00	1436.1	"2,500"		"5,000"	8/14/2008	15	Orbital Sciences Corp.	USA	Guiana Space Center	Ariane 5 ECA	2008-038B	33275	"Television services to the US, Canada, Mexico and Caribbean."		JM/12_08	http://www.orbital.com/NewsInfo/Publications/AMC-21_Fact.pdf		http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2008/038B.HTM																																																																																																																																																																																																																															
"AMC-4 (Americom-4, GE-4)"	AMC-4	USA	USA	SES S.A./Gogo	Commercial	Communications		GEO		-100.99	"35,781"	"35,791"	1.19E-04	0.01	1436.1	"3,909"	"2,500"		11/13/1999	15	Lockheed Martin Commercial Space Systems	USA	Guiana Space Center	Ariane 44LP	1999-060A	25954	"Broadcasting, cable, internet; CONUS, Canada, Mexico, Caribbean, Central America, South America; 28 Ku- and 24 C-band"		JM/12_08	http://spacenews.com/sess-amc-9-satellite-drifting-after-anomaly/		http://ses-americom.com/satellites/amc-4.html	http://www.lockheedmartin.com/content/dam/lockheed/data/space/documents/a2100/A2100brochure.pdf																																																																																																																																																																																																																														
"AMC-6 (Americom-6, GE-6)"	AMC-6	USA	USA	SES S.A.	Commercial	Communications		GEO		-71.98	"35,778"	"35,795"	2.02E-04	0.05	1436.12	"3,901"	"2,500"		10/22/2000	15	Lockheed Martin Commercial Space Systems	USA	Baikonur Cosmodrome	Proton K	2000-067A	26580	"Business (government and VSAT), media and entertainment; 28 Ku- and 24 C-band; CONUS, Canada, Mexico, Caribbean, Central America"		JM/12_08	http://nssdc.gsfc.nasa.gov/spacewarn/		http://ses-americom.com/satellites/amc-6.html	http://perso.wanadoo.fr/eurospace/espdatabase/index.html	http://www.lockheedmartin.com/content/dam/lockheed/data/space/documents/a2100/A2100brochure.pdf																																																																																																																																																																																																																													
"AMC-8 (Americom-8, GE-8, Aurora 3)"	AMC-8	USA	USA	SES S.A.	Commercial	Communications		GEO		-139.00	"35,773"	"35,798"	2.97E-04	0.03	1436.07	"2,015"	919	"3,300"	12/19/2000	15	Lockheed Martin Commercial Space Systems	USA	Guiana Space Center	Ariane 5G	2000-081B	26639	"Cable television and radio programming; 24 C-band; CONUS, Alaska, Hawaii, Caribbean"		JM/12_08	http://perso.wanadoo.fr/eurospace/espdatabase/index.html		http://ses-americom.com/satellites/amc-8.html		http://www.lockheedmartin.com/content/dam/lockheed/data/space/documents/a2100/A2100brochure.pdf																										http://www.orbcomm.com	http://nssdc.gsfc.nasa.gov/spacewarn/spx554.html	http://perso.wanadoo.fr/eurospace/espdatabase/S1119.html				JMSatcat803																																																																																																																																																																																													
AmGU-1 (AmurSat-1)	AmGU-1	Russia	Russia	Moscow State University	Civil	Space Science		LEO	Sun-Synchronous	0.00	514	547	2.39E-03	97.50	95.2	4			7/5/2019		Moscow State University	Russia	Vostochny Cosmodrome	Soyuz 2.1b	2019-038J	44394	Foton-Amur instrument consisting of charged particle and gamma ray detectors to study space weather phenomena.																																																																																																																																																																																																																																				
Amos 17	Amos 17	NR (4/20)	Israel	Space-Communication Ltd.	Military/Commercial	Communications		GEO		17.00	"35,777"	"35,793"	1.90E-04	0.00	1436.04	"6,500"			8/6/2019	20	Boeing Satellite Systems	USA	Cape Canaveral	Falcon 9	2019-050A	44479	Replaces Amos 5 which failed in 2015.		JMGEO/11_19)	https://spaceflightnow.com/2019/08/07/spacex-launches-israeli-owned-telecom-satellite/		https://www.planet4589.org/space/log/geo.log																																																																																																																																																																																																																															
Amos 3	Amos 3	NR	Israel	Space-Communication Ltd.	Military/Commercial	Communications		GEO		-3.99	"35,783"	"35,789"	7.12E-05	0.04	1436.1				4/28/2008	12	Israel Aircraft Industries (IAI)	Israel	Baikonur Cosmodrome	Zenit 3SLB	2008-022A	32794	"15 transponders, Ku and Ka bands."		JM/12_08	http://nssdc.gsfc.nasa.gov/spacewarn/spx654.html		http://www.lib.cas.cz/space.40/2008/I021A.HTM	http://www.amos-spacecom.com/amos1/page.asp?newsid=4&type=6&lang=1&cat=68	"http://www.ynetnews.com/articles/0,7340,L-3536659,00.html"	http://www.amos-spacecom.com/newsite/page.asp?cat=45&type=4&lang=1																																																																																																																																																																																																																												
Amos 4	Amos 4	NR	Israel	Space-Communication Ltd.	Military/Commercial	Communications		GEO		65.00	"35,633"	"35,796"	1.94E-03	0.01	1432				8/31/2013	12	Israel Aircraft Industries (IAI)	Israel	Baikonur Cosmodrome	Zenit 2SB	2013-045A	39237	"Full range of satellite services for Russia, the Middle East and additional service areas. Suggested military surveillance purpose as well."			http://www.redorbit.com/news/space/1112937144/launch-of-israel-amos-satellite-090213/		http://www.afcea.org/content/?q=node/2541	http://www.upi.com/Business_News/Security-Industry/2013/09/03/Israels-Amos-4-satellite-launch-boosts-space-plan/UPI-76151378231530/		http://www.richardsilverstein.com/2013/09/01/israel-launches-amos-4-satellite-with-secret-military-payload-for-spying-on-iran-syria/																																																																																																																																																																																																																												
Amsat-Oscar 7 (AO-7)	Amsat-Oscar 7	USA	USA	AMSAT-NA	Civil	Communications		LEO	Polar	0.00	"1,440"	"1,459"	1.21E-03	101.40	114.9	29			11/15/1974		Amsat-NA	USA	Vandenberg AFB	Delta 2310	1974-089B	7530	American amateur radio satellite.		www.satellitedebris.net 12/12	http://www.amsat.org/amsat-new/satellites/status.php		http://www.emilyshouse.com/experthams/ao7/main.php																																																																																																																																																																																																																															
"ANASIS-II (Army, Navy Air Force Satellite Information System 2, KMilSatCom 1)"	ANASIS-II	NR (7/20)	South Korea	Agency for Defense Development	Military	Communications		GEO		115.90	"35,781"	"35,792"	1.30E-04	0.01	1436.1				7/20/2020	15	Airbus Defense and Space	France/UK/Germany/Spain	Cape Canaveral	Falcon 9	2020-048A	45920	First South Korean military satellite.		ZARYA	https://spaceflightnow.com/2020/07/20/spacex-delivers-south-koreas-first-military-satellite-into-on-target-orbit/																																																																																																																																																																																																																																	
ANDESITE Mule (Ad-Hoc Network Demonstration for Extended Satellite-Based Inquiry and Other Team Endeavors)	ANDESITE Mule	NR (7/20)	USA	ANDESITE - Boston University	Civil	Space Science/Technology Demonstration		LEO	Sun-Synchronous	0.00	582	600	1.29E-03	97.70	96.5	9			6/13/2020		Boston University	USA	Rocket Lab Launch Complex 1	Electron	2020-037D	45726	Mule carries 8 sensor plates that will be released and gather data for a 3-dimensional view of plasma currents. Each about size of piece of bread - each has magnetometer and radio transmitter.		JMSatcat/7_20	https://spaceflightnow.com/2020/06/13/university-built-cubesat-launched-with-swarm-of-auroral-science-nodes/	https://www.planet4589.org/space/log/satcat.txt																																																																																																																																																																																																																																
ANGELS (Argos Neo on a Generic Economical and Light Satellite)	ANGELS	NR (3/20)	ESA	Centre National d'Etudes Spatiales (CNES)	Government	Communications		LEO	Sun-Synchronous	0.00	509	524	1.09E-03	97.40	94.9	18			12/18/2019		CNES 	ESA	Guiana Space Center	Soyuz	2019-092D	44876	"Miniaturized Argos Neo instrument ten times smaller than the equivalent previous-generation device. The instrument collects and locates low-power signals and messages sent by the 20,000 Argos transmitters operating around the globe. "		JMSatcat/3_20	https://airtable.com/shrafcwXODMMKeRgU/tbldJoOBP5wlNOJQY/viwrecgNj5pECsxOs/recqKyk4xegykqEzk?blocks=hide	https://spaceflightnow.com/2019/12/18/soyuz-launches-italian-radar-satellite-esa-exoplanet-telescope/																																																																																																																																																																																																																																
Anik F1 	Anik F1	Canada	Canada	"Telesat Canada Ltd. (BCE, Inc.)"	Commercial	Communications		GEO		-107.27	"35,778"	"35,793"	1.78E-04	0.02	1436.08	"4,710"	"2,950"	"15,500 (EOL)"	11/21/2000	15	Boeing Satellite Systems	USA	Guiana Space Center	Ariane 44L	2000-076A	26624			JM/12_08			http://www.boeing.com/defense-space/space/bss/hsc_pressreleases/00_04_17_anikf2.html	http://www.telesat.ca/satellites/photos/satellites_gallery7.htm																																																																																																																																																																																																																														
Anik F1R	Anik F1R	Canada	Canada	"Telesat Canada Ltd. (BCE, Inc.)"	Commercial	Communications		GEO		-107.30	"35,777"	"35,795"	2.13E-04	0.02	1436.1	"4,500"		"10,000"	9/9/2005	15	EADS Astrium	France/UK/Germany/Spain	Baikonur Cosmodrome	Proton M	2005-036A	28868			JM/12_08	http://www.telesat.ca/satellites/index.htm		http://www.telesat.ca/news/2005/05-14.htm	http://www.space.eads.net/families/daily-life-benefits/communications/anik-f1r	http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2005/036A.HTM																																																																																																																																																																																																																													
